cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season,class
1372,2,2,10,3.8074667544799388,1545,11,1.8042727086281731,1
1461,2,2,10,3.8074667544799388,1557,11,1.8042727086281731,1
1371,2,2,10,3.6124962945838073,1566,11,1.8042727086281731,1
1261,6,2,10,3.7875718095925786,1566,11,1.8042727086281731,1
1305,6,2,10,3.711971019020609,1464,11,0.9431945538974952,1
1337,6,2,10,3.7756348426601622,1520,11,0.9431945538974952,1
1300,2,2,10,3.8353196773222433,1563,11,1.8042727086281731,1
1354,6,2,10,3.6761601182233603,1532,11,0.8884502877862838,1
1222,6,2,10,3.7716558536826903,1476,11,0.9431945538974952,1
1085,6,2,10,3.7756348426601622,1581,11,0.8884502877862838,1
1214,6,2,10,3.6960550631107205,1524,11,1.8042727086281731,1
642,6,2,10,0.28606150941715336,1311,11,0.9431945538974952,1
814,4,2,10,1.1892920073033142,1681,11,0.9431945538974952,1
550,4,2,10,0.5486747819303103,1220,11,0.8884502877862838,1
606,6,2,10,0.2542295975973768,1239,11,0.9431945538974952,1
721,6,2,10,0.9505526686549897,1445,11,0.9431945538974952,1
595,6,2,10,0.6043806276149193,1415,11,0.8884502877862838,1
661,4,2,10,0.43726309056109214,1150,11,0.8884502877862838,1
587,6,2,10,0.5964226496599752,1531,11,0.9431945538974952,1
835,6,2,10,0.9067837899027968,1603,11,0.8884502877862838,1
705,4,2,10,0.083133072,1122,11,0.8884502877862838,1
599,4,2,10,0.5765277047726147,1306,11,0.8884502877862838,1
619,4,2,10,0.38951522283142725,1195,11,0.9431945538974952,1
648,6,2,10,0.7277292859165536,1370,11,0.8884502877862838,1
778,6,2,10,0.8112880544434671,1514,11,0.9431945538974952,1
692,6,2,10,0.6521284953445842,1307,11,0.9431945538974952,1
804,4,2,10,0.8709728891055483,1517,11,0.8884502877862838,1
660,6,2,10,0.9823845804747663,1626,11,0.9431945538974952,1
547,6,2,10,0.5208218590880057,1191,11,0.8884502877862838,1
846,6,2,10,1.173376051393426,1613,11,0.8884502877862838,1
826,6,2,10,1.0500273930917916,1593,11,0.8884502877862838,1
834,6,2,10,1.014216492294543,1591,11,0.8884502877862838,1
664,4,2,10,0.7197713079616094,1140,11,0.9431945538974952,1
763,6,2,10,0.8192460323984113,1614,11,0.8884502877862838,1
718,6,2,10,0.7197713079616094,1291,11,0.8884502877862838,1
594,6,2,10,0.7436452418264419,1333,11,0.8884502877862838,1
641,6,2,10,0.7476242308039139,1577,11,0.8884502877862838,1
840,4,2,10,0.962489636,1465,11,0.9431945538974952,1
728,4,2,10,1.1654180734384818,1577,11,0.9431945538974952,1
539,6,2,10,0.7874141205786347,1394,11,0.8884502877862838,1
605,4,2,10,0.9147417678577411,1561,11,0.9431945538974952,1
613,6,2,10,0.6600864732995283,1352,11,0.8884502877862838,1
675,6,2,10,0.6083596165923914,1499,11,0.9431945538974952,1
510,6,2,10,0.40941016771878763,1172,11,0.9431945538974952,1
618,6,2,10,0.7118133300066652,1510,11,0.9431945538974952,1
638,6,2,10,0.6521284953445842,1635,11,0.8884502877862838,1
585,4,2,10,0.6760024292094166,1332,11,0.9431945538974952,1
837,6,2,10,0.6680444512544724,1323,11,0.8884502877862838,1
688,6,2,10,0.8470989552407158,1421,11,0.8884502877862838,1
805,6,2,10,0.21046071884518394,1330,11,0.9431945538974952,1
762,6,2,10,0.7237502969390814,1484,11,0.8884502877862838,1
640,6,2,10,0.6640654622770004,1250,11,0.8884502877862838,1
699,4,2,10,0.962489636,1506,11,0.9431945538974952,1
674,6,2,10,0.429305113,1667,11,0.9431945538974952,1
662,6,2,10,1.0579853710467357,1755,11,0.9431945538974952,1
736,6,2,10,0.7794561426236906,1404,11,0.9431945538974952,1
563,6,2,10,0.6163175945473355,1419,11,0.9431945538974952,1
756,6,2,10,1.0540063820692636,1392,11,0.9431945538974952,1
705,4,2,10,1.0818593049115681,1534,11,0.8884502877862838,1
802,6,2,10,1.2489768419653953,1578,11,0.8884502877862838,1
591,6,2,10,0.060110532,1166,11,0.9431945538974952,1
708,4,2,10,0.8510779442181878,1533,11,0.8884502877862838,1
717,4,2,10,0.807309065,1499,11,0.8884502877862838,1
573,4,2,10,0.7237502969390814,1375,11,0.8884502877862838,1
622,4,2,10,1.1693970624159538,1482,11,0.9431945538974952,1
516,6,2,10,0.42532612362867595,995,11,0.9431945538974952,1
763,6,2,10,0.6799814181868887,1396,11,0.9431945538974952,1
592,4,2,10,0.9903425584297104,1615,11,0.8884502877862838,1
580,4,2,10,0.3298303881693462,1368,11,0.8884502877862838,1
635,6,2,10,0.429305113,1241,11,0.9431945538974952,1
626,6,2,10,0.36962027794406693,1443,11,0.9431945538974952,1
793,6,2,10,0.7953720985335788,1485,11,0.9431945538974952,1
607,6,2,10,0.4492000574935084,1190,11,0.8884502877862838,1
528,4,2,10,0.266166565,1355,11,0.9431945538974952,1
758,6,2,10,0.6600864732995283,1336,11,0.8884502877862838,1
780,6,2,10,0.3537043220341786,1405,11,0.9431945538974952,1
855,4,2,10,1.0460484041143194,1575,11,0.8884502877862838,1
752,4,2,10,0.7317082748940257,1273,11,0.8884502877862838,1
700,6,2,10,0.9545316576324617,1414,11,0.8884502877862838,1
582,4,2,10,0.803330076,1288,11,0.9431945538974952,1
693,4,2,10,0.863014911,1245,11,0.9431945538974952,1
657,4,2,10,0.6322335504572237,1477,11,0.9431945538974952,1
645,4,2,10,0.5168428701105336,1301,11,0.8884502877862838,1
677,4,2,10,0.7356872638714977,1477,11,0.9431945538974952,1
722,6,2,10,0.6720234402319445,1331,11,0.9431945538974952,1
738,6,2,10,0.699876363,1549,11,0.8884502877862838,1
566,6,2,10,0.5446957929528382,1353,11,0.9431945538974952,1
736,4,2,10,0.6521284953445842,1417,11,0.8884502877862838,1
614,6,2,10,0.8431199662632437,1468,11,0.8884502877862838,1
614,6,2,10,0.962489636,1156,11,0.8884502877862838,1
821,4,2,10,1.0778803159340962,1632,11,0.8884502877862838,1
745,6,2,10,0.9585106466099339,1749,11,0.8884502877862838,1
624,6,2,10,0.4929689362457012,1372,11,0.8884502877862838,1
713,6,2,10,1.0858382938890403,1523,11,0.9431945538974952,1
677,4,2,10,0.8948468229703807,1534,11,0.8884502877862838,1
692,6,2,10,0.4213471346512039,1413,11,0.8884502877862838,1
731,6,2,10,0.48103196931328496,1319,11,0.9431945538974952,1
639,4,2,10,0.6163175945473355,1509,11,0.9431945538974952,1
725,4,2,10,1.3683465112895574,1747,11,0.9431945538974952,1
869,4,2,10,1.181334029,1828,11,0.8884502877862838,1
749,4,2,10,1.2251029081005629,1537,11,0.9431945538974952,1
592,6,2,10,0.4850109582907571,1273,11,0.8884502877862838,1
680,6,2,10,0.9465736796775176,1489,11,0.9431945538974952,1
783,4,2,10,0.7436452418264419,1336,11,0.9431945538974952,1
673,6,2,10,0.5486747819303103,1544,11,0.8884502877862838,1
505,4,2,10,0.047322171,1046,11,0.9431945538974952,1
655,4,2,10,0.4213471346512039,1156,11,0.8884502877862838,1
595,6,2,10,0.44124207953856426,1413,11,0.9431945538974952,1
809,4,2,10,0.46909500238086876,1220,11,0.8884502877862838,1
773,4,2,10,0.807309065,1373,11,0.8884502877862838,1
796,4,2,10,0.8709728891055483,1531,11,0.8884502877862838,1
698,6,2,10,0.8311829993308275,1436,11,0.9431945538974952,1
714,4,2,10,0.6760024292094166,1211,11,0.9431945538974952,1
707,4,2,10,0.9823845804747663,1768,11,0.9431945538974952,1
765,4,2,10,0.7595611977363301,1314,11,0.8884502877862838,1
642,6,2,10,0.4571580354484525,1364,11,0.9431945538974952,1
646,6,2,10,0.7953720985335788,1557,11,0.8884502877862838,1
755,6,2,10,0.5645907378401985,1534,11,0.9431945538974952,1
803,4,2,10,1.0301324482044312,1582,11,0.8884502877862838,1
702,4,2,10,1.1693970624159538,1501,11,0.9431945538974952,1
727,4,2,10,1.121649194686289,1659,11,0.8884502877862838,1
584,4,2,10,0.5566327598852544,1316,11,0.8884502877862838,1
679,6,2,10,0.9545316576324617,1430,11,0.8884502877862838,1
775,4,2,10,0.9306577237676293,1578,11,0.9431945538974952,1
814,4,2,10,0.5446957929528382,1552,11,0.9431945538974952,1
